taxon;scientific_name;revised_name;category;body_mass;diet;foraging_strata;activity_period;taxon_no_data
Mammalia;Phyllostomus_discolor;Phyllostomus_discolor;up_to_date;34.1;omnivorous;S;nocturnal;trait available
Mammalia;Phyllostomus_elongatus;Phyllostomus_elongatus;up_to_date;40.4;omnivorous;S;nocturnal;trait available
Mammalia;Phyllostomus_hastatus;Phyllostomus_hastatus;up_to_date;87.2;omnivorous;S;nocturnal;trait available
Mammalia;Platyrrhinus_helleri;Platyrrhinus_helleri;up_to_date;13.5;herbivore;Ar;nocturnal;trait available
Mammalia;Potos_flavus;Potos_flavus;up_to_date;3000;herbivore;Ar;nocturnal;trait available
Mammalia;Proechimys_guyannensis;Proechimys_guyannensis;up_to_date;316;herbivore;G;nocturnal;trait available
Mammalia;Proechimys_setosus;Trinomys_setosus;updated;285;herbivore;G;nocturnal;trait available
Mammalia;Proechimys_sp.;Proechimys_sp.;morphospecies;277.0590909;herbivore;G;nocturnal;trait available
Mammalia;Pteronotus_davyi;Pteronotus_davyi;up_to_date;9.2;carnivore;A;nocturnal;trait available
Mammalia;Pteronotus_parnellii;Pteronotus_parnellii;up_to_date;19.7;carnivore;A;nocturnal;trait available
Mammalia;Puma_yagouaroundi;Puma_yagouaroundi;up_to_date;6875;carnivore;G;cathemeral;trait available
Mammalia;Rattus_norvegicus;Rattus_norvegicus;up_to_date;356.7;omnivorous;G;nocturnal;trait available
Mammalia;Rattus_rattus;Rattus_rattus;up_to_date;178.3;omnivorous;G;nocturnal;trait available
Mammalia;Rattus_tiomanicus;Rattus_tiomanicus;up_to_date;130;omnivorous;G;nocturnal;trait available
Mammalia;Ratufa_indica;Ratufa_indica;up_to_date;1060;herbivore;Ar;diurnal;trait available
Mammalia;Reithrodontomys_megalotis;Reithrodontomys_megalotis;up_to_date;9.4;herbivore;G;nocturnal;trait available
Mammalia;Rhinolophus_affinis;Rhinolophus_affinis;up_to_date;13.6;carnivore;A;nocturnal;trait available
Mammalia;Rhinolophus_lepidus;Rhinolophus_lepidus;up_to_date;5.7;carnivore;A;nocturnal;trait available
Mammalia;Rhinolophus_luctus;Rhinolophus_luctus;up_to_date;33.5;carnivore;A;nocturnal;trait available
Mammalia;Rhinolophus_sedulus;Rhinolophus_sedulus;up_to_date;8.8;carnivore;A;nocturnal;trait available
Mammalia;Rhinolophus_stheno;Rhinolophus_stheno;up_to_date;7.9;carnivore;A;nocturnal;trait available
Mammalia;Rhinolophus_trifoliatus;Rhinolophus_trifoliatus;up_to_date;14.5;carnivore;A;nocturnal;trait available
Mammalia;Rhinophylla_pumilio;Rhinophylla_pumilio;up_to_date;9.6;herbivore;Ar;nocturnal;trait available
Mammalia;Rhipidomys_leucodactylus;Rhipidomys_leucodactylus;up_to_date;80;herbivore;Ar;nocturnal;trait available
Mammalia;Rhipidomys_macrurus;Rhipidomys_macrurus;up_to_date;79.9;herbivore;Ar;nocturnal;trait available
Mammalia;Rhipidomys_mastacalis;Rhipidomys_mastacalis;up_to_date;77.5;herbivore;Ar;nocturnal;trait available
Mammalia;Rhipidomys_nitela;Rhipidomys_nitela;up_to_date;56;herbivore;Ar;nocturnal;trait available
Mammalia;Rhipidomys_sp._n.;Rhipidomys_sp._n.;morphospecies;304.3;herbivore;Ar;nocturnal;trait available
Mammalia;Rhogeessa_tumida;Rhogeessa_tumida;up_to_date;4.5;carnivore;A;nocturnal;trait available
Mammalia;Rhynchonycteris_naso;Rhynchonycteris_naso;up_to_date;3.8;carnivore;A;nocturnal;trait available
Mammalia;Saccopteryx_bilineata;Saccopteryx_bilineata;up_to_date;7.8;carnivore;A;cathemeral;trait available
Mammalia;Saccopteryx_canescens;Saccopteryx_canescens;up_to_date;3.4;carnivore;A;cathemeral;trait available
Mammalia;Saccopteryx_leptura;Saccopteryx_leptura;up_to_date;4.7;carnivore;A;cathemeral;trait available
Mammalia;Sapajus_nigritus;Cebus_nigritus_nigritus;updated;3200;omnivorous;Ar;diurnal;trait available
Mammalia;Sapajus_robustus;Cebus_nigritus_robustus;updated;3200;omnivorous;Ar;diurnal;trait available
Mammalia;Sciurus_carolinensis;Sciurus_carolinensis;up_to_date;506.5;herbivore;Ar;diurnal;trait available
Mammalia;Scotophilus_kuhlii;Scotophilus_kuhlii;up_to_date;20.7;carnivore;A;nocturnal;trait available
Mammalia;Semnopithecus_johnii;Trachypithecus_johnii;updated;11921;herbivore;Ar;diurnal;trait available
Mammalia;Setifer_setosus;Setifer_setosus;up_to_date;294;omnivorous;G;nocturnal;trait available
Mammalia;Sooretamys_angouya;Oryzomys_angouya;updated;100.3;herbivore;G;cathemeral;trait available
Mammalia;Sorex_araneus;Sorex_araneus;up_to_date;10;omnivorous;G;cathemeral;trait available
Mammalia;Sorex_minutus;Sorex_minutus;up_to_date;4.5;omnivorous;G;cathemeral;trait available
Mammalia;Sturnira_lilium;Sturnira_lilium;up_to_date;19.1;herbivore;Ar;nocturnal;trait available
Mammalia;Sturnira_ludovici;Sturnira_ludovici;up_to_date;21;herbivore;Ar;nocturnal;trait available
Mammalia;Sturnira_tildae;Sturnira_tildae;up_to_date;24;herbivore;Ar;nocturnal;trait available
Mammalia;Suncus_madagascariensis;Suncus_madagascariensis;up_to_date;3.5;carnivore;G;nocturnal;trait available
Mammalia;Suncus_murinus;Suncus_murinus;up_to_date;61.5;carnivore;G;nocturnal;trait available
Mammalia;Sundamys_muelleri;Sundamys_muelleri;up_to_date;275.7;omnivorous;G;nocturnal;trait available
Mammalia;Sus_scrofa;Sus_scrofa;up_to_date;101052.1;herbivore;G;cathemeral;trait available
Mammalia;Sylvilagus_brasiliensis;Sylvilagus_brasiliensis;up_to_date;950;herbivore;G;cathemeral;trait available
Mammalia;Talpa_europaea;Talpa_europaea;up_to_date;77;carnivore;G;cathemeral;trait available
Mammalia;Tamandua_tetradactyla;Tamandua_tetradactyla;up_to_date;5515.1;carnivore;S;cathemeral;trait available
Mammalia;Tapirus_terrestris;Tapirus_terrestris;up_to_date;207500.9;herbivore;G;nocturnal;trait available
Mammalia;Tayassu_pecari;Tayassu_pecari;up_to_date;32233.7;herbivore;G;cathemeral;trait available
Mammalia;Thaptomys_nigrita;Thaptomys_nigrita;up_to_date;19.9;carnivore;G;cathemeral;trait available
Mammalia;Thaptomys_sp.;Thaptomys_sp.;morphospecies;19.9;carnivore;G;cathemeral;trait available
Mammalia;Thyroptera_tricolor;Thyroptera_tricolor;up_to_date;4.4;carnivore;A;nocturnal;trait available
Mammalia;Tonatia_brasiliense;Lophostoma_brasiliense;updated;9.4;carnivore;S;nocturnal;trait available
Mammalia;Tonatia_saurophila;Tonatia_saurophila;up_to_date;30;omnivorous;A;nocturnal;trait available
Mammalia;Tonatia_saurophila_bidens;Tonatia_saurophila;updated;30;omnivorous;A;nocturnal;trait available
